uf;2013;2014;2015;2016;2017;2018;2019
RO;483;578;600;703;554;476;447
AC;234;232;217;363;516;409;325
AM;1191;1240;1472;1452;1674;1542;1592
RR;214;158;203;204;248;414;234
PA;3405;3446;3675;4223;4575;4528;3405
AP;225;256;293;381;383;426;361
TO;349;381;503;577;557;570;456
MA;2163;2462;2438;2408;2180;1982;1704
PI;598;717;650;701;626;619;569
CE;4473;4626;4163;3642;5433;4900;2417
RN;1447;1602;1545;1854;2203;1825;1346
PB;1551;1551;1522;1355;1341;1244;953
PE;3124;3358;3847;4447;5419;4190;3474
AL;2148;2085;1748;1820;1813;1441;1115
SE;965;1097;1303;1465;1313;1133;973
BA;5694;6052;6012;7171;7487;6787;6118
MG;4717;4724;4532;4622;4299;3372;2893
ES;1622;1609;1450;1270;1521;1165;1043
RJ;5111;5718;5067;6053;6416;6455;3552
SP;6035;6185;5427;4870;4631;3727;3361
PR;2936;2980;2936;3080;2759;2443;2095
SC;789;905;957;984;1066;843;767
RS;2322;2724;2944;3225;3316;2699;2184
MS;630;700;634;671;659;572;491
MT;1158;1358;1203;1180;1102;989;895
GO;2975;2887;2997;3036;2901;2675;2253
DF;837;843;742;760;610;530;480
